region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Japan,Diva,アイーダ どうぶつの森,0.0,0.0,0.0,0.0,5.0,34.0,164.0,0.604368932038835,0.0,0.24174757281553402,186
Japan,Dizzy,ヒュージ どうぶつの森,0.0,0.0,0.0,0.0,4.0,23.0,93.0,0.7766990291262136,0.0,0.31067961165048547,127
Japan,Dobie,けん どうぶつの森,0.031,0.0,0.0,0.022,3.0,14.0,54.0,0.8713592233009708,0.36065573770491804,0.5649371319433392,18
Japan,Doc,トビオ どうぶつの森 住民 rabbit,0.0,0.0,0.0,0.0,5.0,69.0,199.0,0.5194174757281553,0.0,0.20776699029126214,217
Japan,Dom,ちゃちゃまる どうぶつの森 住民 sheep,0.034,0.0,0.0,0.024,2.0,9.0,24.0,0.9441747572815534,0.39344262295081966,0.6137354766831131,9
Japan,Dora,とめ どうぶつの森,0.0,0.0,0.0,0.0,6.0,81.0,331.0,0.19902912621359226,0.0,0.0796116504854369,315
Japan,Dotty,マーサ どうぶつの森 住民 rabbit,0.0,0.0,0.0,0.0,5.0,4.0,134.0,0.6771844660194175,0.0,0.270873786407767,162
Japan,Drago,タツオ どうぶつの森,0.05,0.0,0.0,0.035,4.0,4.0,74.0,0.8228155339805825,0.5737704918032788,0.6733885086742003,7
Japan,Drake,フォアグラ どうぶつの森,0.0,0.0,0.0,0.0,6.0,57.0,307.0,0.25728155339805825,0.0,0.1029126213592233,297
Japan,Drift,ドク どうぶつの森,0.028,0.0,0.0,0.019,5.0,59.0,189.0,0.5436893203883495,0.3114754098360656,0.40436097405697913,45
Japan,Ed,キザノホマレ どうぶつの森 住民 horse,0.0,0.0,0.0,0.0,6.0,69.0,319.0,0.22815533980582525,0.0,0.09126213592233011,307
Japan,Egbert,しもやけ どうぶつの森,0.0,0.0,0.0,0.0,5.0,12.0,142.0,0.6577669902912622,0.0,0.2631067961165049,166
Japan,Elise,モンこ どうぶつの森,0.0,0.0,0.0,0.0,6.0,73.0,323.0,0.2184466019417476,0.0,0.08737864077669905,310
Japan,Ellie,エクレア どうぶつの森,0.034,0.0,0.0,0.024,4.0,52.0,122.0,0.7063106796116505,0.39344262295081966,0.518589845615152,23
Japan,Elmer,サブレ どうぶつの森,0.0,0.0,0.0,0.0,6.0,111.0,361.0,0.12621359223300976,0.0,0.05048543689320391,340
Japan,Eloise,エレフィン どうぶつの森,0.0,0.0,0.0,0.0,5.0,75.0,205.0,0.5048543689320388,0.0,0.20194174757281555,221
Japan,Elvis,キング どうぶつの森,0.0,0.0,0.0,0.0,5.0,14.0,144.0,0.6529126213592233,0.0,0.2611650485436893,168
Japan,Erik,チャック どうぶつの森,0.0,0.0,0.0,0.0,2.0,6.0,21.0,0.9514563106796117,0.0,0.3805825242718447,61
Japan,Eugene,ロッキー どうぶつの森,0.0,0.0,0.0,0.0,4.0,40.0,110.0,0.7354368932038835,0.0,0.2941747572815534,142
Japan,Eunice,モヘア どうぶつの森,0.0,0.0,0.0,0.0,5.0,81.0,211.0,0.49029126213592233,0.0,0.19611650485436893,227
Japan,Fang,シベリア どうぶつの森,0.0,0.0,0.0,0.0,2.0,18.0,33.0,0.9223300970873787,0.0,0.3689320388349515,70
Japan,Fauna,ドレミ どうぶつの森,0.0,0.0,0.0,0.0,2.0,1.0,16.0,0.9635922330097088,0.0,0.3854368932038835,54
Japan,Felicity,みかっち どうぶつの森,0.0,0.0,0.0,0.0,5.0,16.0,146.0,0.6480582524271845,0.0,0.2592233009708738,170
Japan,Filbert,リッキー どうぶつの森,0.0,0.0,0.0,0.0,3.0,2.0,42.0,0.9004854368932039,0.0,0.3601941747572816,77
Japan,Flip,さすけ どうぶつの森,0.0,0.0,0.0,0.0,5.0,74.0,204.0,0.5072815533980582,0.0,0.2029126213592233,220
Japan,Flo,レイラ どうぶつの森 住民 penguin,0.0,0.0,0.0,0.0,5.0,23.0,153.0,0.6310679611650485,0.0,0.2524271844660194,177
Japan,Flora,フララ どうぶつの森,0.0,0.0,0.0,0.0,2.0,25.0,40.0,0.9053398058252428,0.0,0.3621359223300971,76
Japan,Flurry,ゆきみ どうぶつの森,0.023,0.0,0.0,0.016,3.0,13.0,53.0,0.8737864077669903,0.26229508196721313,0.5068916122871241,25
Japan,Francine,フランソワ どうぶつの森,0.0,0.0,0.0,0.0,4.0,21.0,91.0,0.7815533980582524,0.0,0.312621359223301,125
Japan,Frank,ハルク どうぶつの森,0.0,0.0,0.0,0.0,6.0,129.0,379.0,0.08252427184466016,0.0,0.03300970873786407,356
Japan,Freckles,マグロ どうぶつの森,0.0,0.0,0.0,0.0,4.0,43.0,113.0,0.7281553398058253,0.0,0.29126213592233013,145
Japan,Freya,ツンドラ どうぶつの森,0.0,0.0,0.0,0.0,4.0,58.0,128.0,0.691747572815534,0.0,0.27669902912621364,155
Japan,Friga,サブリナ どうぶつの森,0.0,0.0,0.0,0.0,6.0,100.0,350.0,0.15291262135922334,0.0,0.06116504854368934,331
Japan,Frita,ウェンディ どうぶつの森,0.0,0.0,0.0,0.0,5.0,60.0,190.0,0.5412621359223301,0.0,0.21650485436893205,207
Japan,Frobert,コージィ どうぶつの森,0.0,0.0,0.0,0.0,6.0,91.0,341.0,0.1747572815533981,0.0,0.06990291262135924,325
Japan,Fuchsia,ジェシカ どうぶつの森,0.0,0.0,0.0,0.0,4.0,31.0,101.0,0.7572815533980582,0.0,0.3029126213592233,135
Japan,Gabi,ペチカ どうぶつの森,0.0,0.0,0.0,0.0,5.0,116.0,246.0,0.40533980582524276,0.0,0.1621359223300971,250
Japan,Gala,ためこ どうぶつの森,0.0,0.0,0.0,0.0,5.0,101.0,231.0,0.441747572815534,0.0,0.1766990291262136,240
Japan,Gaston,モサキチ どうぶつの森,0.0,0.0,0.0,0.0,6.0,47.0,297.0,0.2815533980582524,0.0,0.11262135922330097,289
Japan,Gayle,アリゲッティ どうぶつの森,0.0,0.0,0.0,0.0,4.0,50.0,120.0,0.7111650485436893,0.0,0.28446601941747574,149
Japan,Genji,ゲンジ どうぶつの森,0.0,0.0,0.0,0.0,3.0,12.0,52.0,0.8762135922330097,0.0,0.3504854368932039,88
